Lot,Lineage,type,number,AMG,Integrated
Inside,Alphaproteobacteria,lytic,5,0,0
Inside,Alphaproteobacteria,lysogenic,1,0,1
Inside,Archaea,lytic,26,0,0
Inside,Archaea,lysogenic,2,1,0
Inside,Bacteria,lytic,110,0,0
Inside,Bacteria,lysogenic,9,4,0
Inside,Cyanobacteria,lytic,7,0,0
Inside,Cyanobacteria,lysogenic,0,1,0
Inside,Euryarchaeota,lytic,8,0,0
Inside,Euryarchaeota,lysogenic,1,1,0
Inside,Gammaprotobacteria,lytic,6,0,0
Inside,Gammaprotobacteria,lysogenic,11,3,6
Inside,Halobacteriaceae,lytic,19,0,0
Inside,Halobacteriaceae,lysogenic,2,2,0
Outside,Actinomycetales,lytic,7,0,0
Outside,Actinomycetales,lysogenic,3,2,2
Outside,Alphaproteobacteria,lytic,8,0,0
Outside,Alphaproteobacteria,lysogenic,6,2,4
Outside,Bacteria,lytic,83,0,0
Outside,Bacteria,lysogenic,16,14,4
Outside,Burkholderiales,lysogenic,1,1,0
Outside,Firmicutes,lysogenic,1,1,1
Outside,Gammaprotobacteria,lytic,8,0,0
Outside,Gammaprotobacteria,lysogenic,7,5,6
Outside,Rhizobiales,lytic,8,0,0
Outside,Rhizobiales,lysogenic,2,0,1
Outside,Rhodobacteraceae,lytic,14,0,0
Outside,Rhodobacteraceae,lysogenic,6,3,5
Outside,Sphingomonadales,lytic,3,0,0
Outside,Sphingomonadales,lysogenic,1,0,1
