Bin,Irep,Phylum,Lot
bin.157.orig.fa,1.796197116,Bacillales,Inside
bin.125.orig.fa,1.923270717,Balneolales,Inside
bin.102.orig.fa,1.784334222,Caulobacterales,Inside
bin.95.orig.fa,2.630563014,Enterobacterales,Inside
bin.211.orig.fa,1.312840072,Gemmatimonadetes,Inside
bin.146.orig.fa,1.820240551,Halobacteriales,Inside
bin.166.orig.fa,1.578550815,Halobacteriales,Inside
bin.187.orig.fa,1.545122397,Halobacteriales,Inside
bin.20.orig.fa,1.907223884,Halobacteriales,Inside
bin.203.orig.fa,1.925143069,Halobacteriales,Inside
bin.3.orig.fa,1.66555495,Halobacteriales,Inside
bin.30.orig.fa,1.688038777,Halobacteriales,Inside
bin.46.orig.fa,1.831093454,Halobacteriales,Inside
bin.86.orig.fa,2.069881215,Halobacteriales,Inside
bin.89.orig.fa,1.515101867,Halobacteriales,Inside
bin.188.orig.fa,1.487288009,Kiloniellales,Inside
bin.112.orig.fa,1.480158719,Nanosalinales,Inside
bin.123.orig.fa,1.910811647,Pseudomonadales,Inside
bin.160.strict.fa,1.585951572,Pseudomonadales,Inside
bin.68.orig.fa,1.77058841,Pseudomonadales,Inside
bin.219.strict.fa,1.65801404,RBG-16-55-9,Inside
bin.71.orig.fa,1.48296157,Rhizobiales,Inside
bin.132.orig.fa,1.414144296,Acidimicrobiales,Outside
bin.227.orig.fa,1.362164993,Acidimicrobiales,Outside
bin.1.orig.fa,1.396735041,Burkholderiales,Outside
bin.163.orig.fa,1.309843773,Burkholderiales,Outside
bin.101.orig.fa,1.559372882,Caulobacterales,Outside
bin.17.orig.fa,1.60003631,Deinococcales,Outside
bin.210.orig.fa,1.377615637,Euzebyales,Outside
bin.35.orig.fa,1.389685614,Euzebyales,Outside
bin.52.orig.fa,1.430118811,Euzebyales,Outside
bin.224.strict.fa,1.376063276,Flavobacteriales,Outside
bin.79.orig.fa,1.47923414,Gammaproteobacteria_SLND01,Outside
bin.29.orig.fa,1.468854727,Gammaproteobacteria_UBA4486,Outside
bin.91.orig.fa,1.479813418,Gemmatimonadetes,Outside
bin.39.orig.fa,1.414551765,Mycobacteriales,Outside
bin.184.orig.fa,1.738432894,Nevskiales,Outside
bin.115.strict.fa,1.911886694,Nitriliruptorales,Outside
bin.141.orig.fa,1.415386607,Nitriliruptorales,Outside
bin.167.orig.fa,1.500221599,Nitriliruptorales,Outside
bin.175.orig.fa,1.375633564,Nitriliruptorales,Outside
bin.190.orig.fa,1.466029943,Nitriliruptorales,Outside
bin.229.orig.fa,1.827360098,Nitriliruptorales,Outside
bin.36.orig.fa,1.429621007,Nitriliruptorales,Outside
bin.58.orig.fa,1.442203836,Nitriliruptorales,Outside
bin.176.orig.fa,1.228168042,Nitrosococcales,Outside
bin.217.orig.fa,1.575152166,Nitrosococcales,Outside
bin.12.orig.fa,1.543651164,Propionibacteriales,Outside
bin.124.orig.fa,1.531921246,Pseudomonadales,Outside
bin.131.orig.fa,1.832587317,Pseudomonadales,Outside
bin.140.orig.fa,1.373529206,Pseudomonadales,Outside
bin.145.orig.fa,1.414368407,Pseudomonadales,Outside
bin.165.orig.fa,1.619250003,Pseudomonadales,Outside
bin.173.orig.fa,1.542959406,Pseudomonadales,Outside
bin.198.orig.fa,1.505610685,Pseudomonadales,Outside
bin.206.orig.fa,1.542560376,Pseudomonadales,Outside
bin.216.orig.fa,1.549735961,Pseudomonadales,Outside
bin.223.orig.fa,1.481153373,Pseudomonadales,Outside
bin.231.orig.fa,1.46780096,Pseudomonadales,Outside
bin.26.strict.fa,1.570746006,Pseudomonadales,Outside
bin.45.orig.fa,1.625768436,Pseudomonadales,Outside
bin.59.orig.fa,1.787338944,Pseudomonadales,Outside
bin.74.orig.fa,1.478176164,Pseudomonadales,Outside
bin.103.strict.fa,1.835144372,Rhizobiales,Outside
bin.128.orig.fa,1.773087421,Rhizobiales,Outside
bin.158.orig.fa,1.568338013,Rhizobiales,Outside
bin.24.strict.fa,1.352608102,Rhizobiales,Outside
bin.150.orig.fa,1.555259333,Rhodobacterales,Outside
bin.180.orig.fa,1.483897455,Rhodobacterales,Outside
bin.228.orig.fa,1.780552589,Rhodobacterales,Outside
bin.48.orig.fa,1.550222339,Rhodobacterales,Outside
bin.82.orig.fa,1.52485025,Rhodobacterales,Outside
bin.121.orig.fa,1.515880767,Rhodospirillales,Outside
bin.204.orig.fa,1.553193323,Sphingomonadales,Outside
bin.31.orig.fa,1.516015762,Sphingomonadales,Outside
bin.42.orig.fa,1.679321073,Sphingomonadales,Outside
bin.196.orig.fa,1.498839267,Thermoplasmatota,Outside
