Bin,Order,bino,Pfam,Description,IPR,Function,GO,gene,pi,coverage,length_with_coverage,sample,mean,std,Z-score
bin_103,Rhizobiales,bin.103_01642,PF02566,OsmC-like protein,IPR003718,OsmC/Ohr family,-,NODE_88_length_10576_cov_6.485475_3,0.036877116,36.63244353,487,bin_103,0.004432167,0.003359567,9.65747891
bin_115,Nitriliruptorales,bin.115_01824,PF03960,ArsC family,IPR006660,Arsenate reductase-like,-,NODE_25_length_46441_cov_29.254055_41,0.022411364,59.58543417,357,bin_115,0.004432167,0.003359567,5.351640852
bin_27,Nitriliruptorales,bin.27_03508,PF01502,Phosphoribosyl-AMP cyclohydrolase,IPR002496,Phosphoribosyl-AMP cyclohydrolase domain,GO:0000105|GO:0004635,NODE_233_length_883_cov_6.001241_2,0.021924406,45.05012531,399,bin_27,0.004432167,0.003359567,5.206694202
bin_8,Azospirillales,bin.8_00459,PF01176,Translation initiation factor 1A / IF-1,IPR006196,"RNA-binding domain, S1, IF1 type",GO:0003723|GO:0003743|GO:0006413,NODE_4382_length_31291_cov_6.593866_3,0.021296794,33.12785388,219,bin_8,0.004432167,0.003359567,5.019880849
bin_9,Euzebyales,bin.9_00934,PF00578,AhpC/TSA family,IPR000866,Alkyl hydroperoxide reductase subunit C/ Thiol specific antioxidant,GO:0016209|GO:0016491,NODE_43_length_16341_cov_5.479279_14,0.018925049,28.96276596,564,bin_9,0.004432167,0.003359567,4.31391341
bin_8,Azospirillales,bin.8_03308,PF00117,Glutamine amidotransferase class-I,IPR017926,Glutamine amidotransferase,-,NODE_160345_length_3303_cov_5.638547_2,0.018680585,20.94349315,584,bin_8,0.004432167,0.003359567,4.241146893
bin_48,Rhodobacterales,bin.48_00310,PF04335,VirB8 protein,IPR007430,Bacterial virulence protein VirB8,GO:0016020,NODE_156_length_160269_cov_9.286373_140,0.01812878,59.68658892,686,bin_48,0.004432167,0.003359567,4.076898054
bin_128,Rhizobiales,bin.128_03667,PF07237,Protein of unknown function (DUF1428),IPR009874,Protein of unknown function DUF1428,-,NODE_58352_length_6020_cov_30.624141_2,0.017622381,30.57344633,354,bin_128,0.004432167,0.003359567,3.926164647
bin_164,Gammaproteobacteria,bin.164_00594,PF00673,ribosomal L5P family C-terminus,IPR031309,"Ribosomal protein L5, C-terminal",-,NODE_41_length_11129_cov_5.920557_12,0.017559873,22.74259259,540,bin_164,0.004432167,0.003359567,3.907558678
bin_164,Gammaproteobacteria,bin.164_00594,PF00281,Ribosomal protein L5,IPR031310,"Ribosomal protein L5, N-terminal",-,NODE_41_length_11129_cov_5.920557_12,0.017559873,22.74259259,540,bin_164,0.004432167,0.003359567,3.907558678
bin_121,Rhodospirillales,bin.121_02213,PF00699,Urease beta subunit,IPR002019,"Urease, beta subunit",GO:0035550|GO:0043419,NODE_128193_length_3774_cov_18.234741_2,0.017031173,25.95409836,305,bin_121,0.004432167,0.003359567,3.750187214
bin_62,Pseudomonadales,bin.62_01478,PF01649,Ribosomal protein S20,IPR002583,Ribosomal protein S20,GO:0003723|GO:0003735|GO:0005840|GO:0006412,NODE_283629_length_2353_cov_3.549608_2,0.016512601,12.78527607,163,bin_62,0.004432167,0.003359567,3.595830423
bin_103,Rhizobiales,bin.103_01402,PF00160,Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD,IPR002130,Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain,GO:0000413|GO:0003755,NODE_67_length_12103_cov_4.200416_6,0.016445574,21.8907563,476,bin_103,0.004432167,0.003359567,3.575879341
bin_121,Rhodospirillales,bin.121_00377,PF12840,Helix-turn-helix domain,-,-,,NODE_11392_length_17202_cov_18.762407_19,0.016012871,22.696793,343,bin_121,0.004432167,0.003359567,3.447082093
bin_103,Rhizobiales,bin.103_02824,PF12804,MobA-like NTP transferase domain,IPR025877,MobA-like NTP transferase,-,NODE_273_length_3838_cov_1.523265_3,0.015594975,17.70454545,528,bin_103,0.004432167,0.003359567,3.322692258
bin_62,Pseudomonadales,bin.62_01386,PF00072,Response regulator receiver domain,IPR001789,"Signal transduction response regulator, receiver domain",GO:0000160,NODE_265672_length_2446_cov_3.200335_2,0.015444854,11.13974592,551,bin_62,0.004432167,0.003359567,3.278007632
bin_62,Pseudomonadales,bin.62_01386,PF00486,"Transcriptional regulatory protein, C terminal",IPR001867,OmpR/PhoB-type DNA-binding domain,GO:0000160|GO:0003677|GO:0006355,NODE_265672_length_2446_cov_3.200335_2,0.015444854,11.13974592,551,bin_62,0.004432167,0.003359567,3.278007632
bin_121,Rhodospirillales,bin.121_00823,PF01262,"Alanine dehydrogenase/PNT, C-terminal domain",IPR007698,"Alanine dehydrogenase/pyridine nucleotide transhydrogenase, NAD(H)-binding domain",-,NODE_22273_length_11135_cov_19.104693_2,0.015414683,19.09714795,1122,bin_121,0.004432167,0.003359567,3.269027011
bin_121,Rhodospirillales,bin.121_00823,PF05222,"Alanine dehydrogenase/PNT, N-terminal domain",IPR007886,"Alanine dehydrogenase/pyridine nucleotide transhydrogenase, N-terminal",-,NODE_22273_length_11135_cov_19.104693_2,0.015414683,19.09714795,1122,bin_121,0.004432167,0.003359567,3.269027011
bin_103,Rhizobiales,bin.103_00536,PF00005,ABC transporter,IPR003439,ABC transporter-like,GO:0005524,NODE_15_length_25796_cov_4.548314_17,0.015207479,26.52019002,842,bin_103,0.004432167,0.003359567,3.207351208
bin_103,Rhizobiales,bin.103_00536,PF12399,Branched-chain amino acid ATP-binding cassette transporter,IPR032823,"Branched-chain amino acid ATP-binding cassette transporter, C-terminal",-,NODE_15_length_25796_cov_4.548314_17,0.015207479,26.52019002,842,bin_103,0.004432167,0.003359567,3.207351208
bin_128,Rhizobiales,bin.128_02837,PF01116,Fructose-bisphosphate aldolase class-II,IPR000771,"Fructose-bisphosphate aldolase, class-II",GO:0005975|GO:0008270|GO:0016832,NODE_19559_length_12119_cov_32.372430_5,0.014815522,14.56029685,1078,bin_128,0.004432167,0.003359567,3.090682308
bin_184,Nevskiales,bin.184_01296,PF14342,Domain of unknown function (DUF4396),IPR025509,Domain of unknown function DUF4396,-,NODE_10745_length_17874_cov_226.256524_13,0.014557188,74.12868217,645,bin_184,0.004432167,0.003359567,3.013787283
bin_103,Rhizobiales,bin.103_01929,PF01259,SAICAR synthetase,IPR028923,"SAICAR synthetase/ADE2, N-terminal",-,NODE_118_length_8526_cov_3.782815_8,0.01444992,25.36671177,739,bin_103,0.004432167,0.003359567,2.98185817
bin_121,Rhodospirillales,bin.121_02817,PF01012,Electron transfer flavoprotein domain,IPR014730,"Electron transfer flavoprotein, alpha/beta-subunit, N-terminal",-,NODE_379575_length_1979_cov_20.674116_2,0.014241879,31.86133333,750,bin_121,0.004432167,0.003359567,2.919933227
bin_121,Rhodospirillales,bin.121_01327,PF03167,Uracil DNA glycosylase superfamily,IPR005122,Uracil-DNA glycosylase-like,-,NODE_37974_length_7864_cov_18.941478_2,0.014214984,25.66040956,586,bin_121,0.004432167,0.003359567,2.911927732
bin_103,Rhizobiales,bin.103_02465,PF01058,"NADH ubiquinone oxidoreductase, 20 Kd subunit",IPR006137,"NADH:ubiquinone oxidoreductase-like, 20kDa subunit",GO:0051536,NODE_198_length_5449_cov_2.628444_5,0.014066374,16.1053719,484,bin_103,0.004432167,0.003359567,2.867692866
bin_49,Thalassobaculales,bin.49_00283,PF06243,Phenylacetic acid degradation B,IPR009359,Phenylacetic acid degradation B,-,NODE_7072_length_23350_cov_7.720884_13,0.014050434,10.872,250,bin_49,0.004432167,0.003359567,2.862948207
bin_49,Thalassobaculales,bin.49_00983,PF00334,Nucleoside diphosphate kinase,IPR034907,Nucleoside diphosphate kinase-like domain,-,NODE_15357_length_14210_cov_6.903850_9,0.014045106,12.50652742,383,bin_49,0.004432167,0.003359567,2.861362289
bin_128,Rhizobiales,bin.128_04121,PF00370,"FGGY family of carbohydrate kinases, N-terminal domain",IPR018484,"Carbohydrate kinase, FGGY, N-terminal",GO:0005975|GO:0016773,NODE_337662_length_2121_cov_27.791868_1,0.013958072,27.3754175,1497,bin_128,0.004432167,0.003359567,2.835455975
bin_128,Rhizobiales,bin.128_04121,PF02782,"FGGY family of carbohydrate kinases, C-terminal domain",IPR018485,"Carbohydrate kinase, FGGY, C-terminal",GO:0005975|GO:0016773,NODE_337662_length_2121_cov_27.791868_1,0.013958072,27.3754175,1497,bin_128,0.004432167,0.003359567,2.835455975
bin_184,Nevskiales,bin.184_01866,PF04675,DNA ligase N terminus,IPR012308,"DNA ligase, ATP-dependent, N-terminal",GO:0003677|GO:0003910|GO:0006281|GO:0006310,NODE_37620_length_7913_cov_222.245737_1,0.013850641,108.3307443,1545,bin_184,0.004432167,0.003359567,2.803478343
bin_184,Nevskiales,bin.184_01866,PF01068,ATP dependent DNA ligase domain,IPR012310,"DNA ligase, ATP-dependent, central",GO:0003910|GO:0005524|GO:0006281|GO:0006310,NODE_37620_length_7913_cov_222.245737_1,0.013850641,108.3307443,1545,bin_184,0.004432167,0.003359567,2.803478343
bin_184,Nevskiales,bin.184_01866,PF04679,ATP dependent DNA ligase C terminal region,IPR012309,"DNA ligase, ATP-dependent, C-terminal",GO:0003910|GO:0006281|GO:0006310,NODE_37620_length_7913_cov_222.245737_1,0.013850641,108.3307443,1545,bin_184,0.004432167,0.003359567,2.803478343
bin_221,Rhizobiales,bin.221_04291,PF00687,Ribosomal protein L1p/L10e family,IPR028364,Ribosomal protein L1/ribosomal biogenesis protein,-,NODE_361600_length_2037_cov_8.958628_2,0.013840447,25.66476462,701,bin_221,0.004432167,0.003359567,2.800444024
bin_226,Kiloniellales,bin.226_01351,PF02700,Phosphoribosylformylglycinamidine (FGAM) synthase,IPR003850,Phosphoribosylformylglycinamidine synthase subunit PurS,-,NODE_4265_length_31805_cov_9.166614_34,0.01380443,22.06995885,243,bin_226,0.004432167,0.003359567,2.789723298
bin_226,Kiloniellales,bin.226_02278,PF00731,AIR carboxylase,IPR000031,PurE domain,GO:0006189,NODE_8404_length_20932_cov_9.296020_9,0.013702997,28.94747475,495,bin_226,0.004432167,0.003359567,2.759531015
bin_103,Rhizobiales,bin.103_02063,PF00155,Aminotransferase class I and II,IPR004839,"Aminotransferase, class I/classII",GO:0009058|GO:0030170,NODE_136_length_7599_cov_7.134406_2,0.013626981,29.13902848,1194,bin_103,0.004432167,0.003359567,2.73690429
bin_121,Rhodospirillales,bin.121_00014,PF06808,"Tripartite ATP-independent periplasmic transporter, DctM component",IPR010656,TRAP C4-dicarboxylate transport system permease DctM subunit,-,NODE_5344_length_27635_cov_18.237273_14,0.013441492,31.8754804,1301,bin_121,0.004432167,0.003359567,2.681692118
bin_94,Rhizobiales,bin.94_03581,PF04343,"Protein of unknown function, DUF488",IPR007438,Protein of unknown function DUF488,-,NODE_220_length_3908_cov_2.270948_2,0.013417043,15.11796247,373,bin_94,0.004432167,0.003359567,2.674414692
bin_103,Rhizobiales,bin.103_02267,PF06339,Ectoine synthase,IPR010462,Ectoine synthase,GO:0019491|GO:0033990,NODE_165_length_6452_cov_4.242158_4,0.013298538,30.03768844,398,bin_103,0.004432167,0.003359567,2.639140803
bin_8,Azospirillales,bin.8_02705,PF13507,CobB/CobQ-like glutamine amidotransferase domain,-,-,,NODE_40197_length_7590_cov_7.072727_2,0.01327676,20.11463047,663,bin_8,0.004432167,0.003359567,2.63265842
bin_121,Rhodospirillales,bin.121_02112,PF00370,"FGGY family of carbohydrate kinases, N-terminal domain",IPR018484,"Carbohydrate kinase, FGGY, N-terminal",GO:0005975|GO:0016773,NODE_111738_length_4092_cov_20.602923_2,0.013259623,31.81653226,1488,bin_121,0.004432167,0.003359567,2.627557465
