Bin,Order,bino,Pfam,Description,IPR,Function,GO,gene,pi,coverage,length_with_coverage,mean,std,Z-score
bin_41,Halobacteriales,bin.41_00340,PF00011,Hsp20/alpha crystallin family,IPR002068,Alpha crystallin/Hsp20 domain,-,NODE_13484_length_15481_cov_14.930896_12,0.028584244,69.14247312,372,0.007416446,0.005885294,3.596727147
bin_63,Halobacteriales,bin.63_01672,PF01555,DNA methylase,IPR002941,DNA methylase N-4/N-6,GO:0003677|GO:0006306|GO:0008170,NODE_145131_length_3506_cov_16.044045_5,0.026665829,77.67902439,1025,0.007416446,0.005885294,3.27075959
bin_185,Bradymonadales,bin.185_03317,PF13417,"Glutathione S-transferase, N-terminal domain",IPR004045,"Glutathione S-transferase, N-terminal",GO:0005515|GO:0006749,NODE_1263_length_974_cov_7.709030_2,0.026086401,63.3,250,0.007416446,0.005885294,3.172306059
bin_43,SW-10-69-26,bin.43_00229,PF01555,DNA methylase,IPR002941,DNA methylase N-4/N-6,GO:0003677|GO:0006306|GO:0008170,NODE_6_length_36300_cov_4.131598_29,0.026068115,41.19093539,1037,0.007416446,0.005885294,3.169198993
bin_232,Halobacteriales,bin.232_01140,PF01042,Endoribonuclease L-PSP,IPR006175,YjgF/YER057c/UK114 family,-,NODE_78348_length_5051_cov_35.643515_7,0.025255136,35.23514212,387,0.007416446,0.005885294,3.031061635
bin_81,Halobacteriales,bin.81_02172,PF00420,NADH-ubiquinone/plastoquinone oxidoreductase chain 4L,IPR039428,NADH-ubiquinone oxidoreductase chain 4L/Mnh complex subunit C1-like,-,NODE_262148_length_2465_cov_16.690871_3,0.024501307,23.48397436,312,0.007416446,0.005885294,2.902974753
bin_41,Halobacteriales,bin.41_00528,PF00406,Adenylate kinase,-,-,,NODE_17950_length_12842_cov_14.860092_10,0.023794691,24.89038786,593,0.007416446,0.005885294,2.782910068
bin_41,Halobacteriales,bin.41_00528,PF05191,"Adenylate kinase, active site lid",IPR007862,"Adenylate kinase, active site lid domain",GO:0004017,NODE_17950_length_12842_cov_14.860092_10,0.023794691,24.89038786,593,0.007416446,0.005885294,2.782910068
bin_41,Halobacteriales,bin.41_01849,PF00491,Arginase family,IPR006035,Ureohydrolase,GO:0046872,NODE_197667_length_2918_cov_15.515194_2,0.022366372,42.77412281,912,0.007416446,0.005885294,2.540217192
bin_215,Bipolaricaulia,bin.215_01557,PF07681,DoxX,IPR032808,DoxX family,-,NODE_468206_length_1745_cov_7.604734_3,0.022307184,26.6152019,421,0.007416446,0.005885294,2.53016026
bin_41,Halobacteriales,bin.41_01585,PF06026,Ribose 5-phosphate isomerase A (phosphoriboisomerase A),IPR004788,"Ribose 5-phosphate isomerase, type A",GO:0004751|GO:0009052,NODE_104413_length_4260_cov_11.938644_9,0.02128705,45.02507375,678,0.007416446,0.005885294,2.356824153
bin_85,Halobacteriales,bin.85_01891,PF00013,KH domain,IPR004088,"K Homology domain, type 1",GO:0003723,NODE_481803_length_1715_cov_268.470482_2,0.020697326,85.26268116,552,0.007416446,0.005885294,2.256621178
bin_55,Rhodothermales,bin.55_00983,PF02700,Phosphoribosylformylglycinamidine (FGAM) synthase,IPR003850,Phosphoribosylformylglycinamidine synthase subunit PurS,-,NODE_47428_length_6838_cov_31.876161_4,0.020612186,56.74206349,252,0.007416446,0.005885294,2.242154611
bin_55,Rhodothermales,bin.55_04734,PF00590,Tetrapyrrole (Corrin/Porphyrin) Methylases,IPR000878,Tetrapyrrole methylase,GO:0008168,NODE_571398_length_1548_cov_29.146685_2,0.019622122,84.48544974,756,0.007416446,0.005885294,2.07392785
bin_55,Rhodothermales,bin.55_00663,PF00226,DnaJ domain,IPR001623,DnaJ domain,-,NODE_28496_length_9469_cov_14.830784_2,0.019465775,43.86429177,1179,0.007416446,0.005885294,2.047362143
bin_55,Rhodothermales,bin.55_00663,PF00684,DnaJ central domain,IPR001305,"Heat shock protein DnaJ, cysteine-rich domain",GO:0031072|GO:0051082,NODE_28496_length_9469_cov_14.830784_2,0.019465775,43.86429177,1179,0.007416446,0.005885294,2.047362143
bin_55,Rhodothermales,bin.55_00663,PF01556,DnaJ C terminal domain,IPR002939,"Chaperone DnaJ, C-terminal",-,NODE_28496_length_9469_cov_14.830784_2,0.019465775,43.86429177,1179,0.007416446,0.005885294,2.047362143
bin_168,Halobacteriales,bin.168_00404,PF01619,Proline dehydrogenase,IPR002872,Proline dehydrogenase domain,-,NODE_20315_length_11829_cov_18.513504_9,0.019444292,82.43847073,837,0.007416446,0.005885294,2.043711858
bin_41,Halobacteriales,bin.41_01320,PF01641,SelR domain,IPR002579,Peptide methionine sulphoxide reductase MrsB,GO:0033743,NODE_73518_length_5245_cov_13.065896_3,0.019072552,54.05637255,408,0.007416446,0.005885294,1.980547642
bin_55,Rhodothermales,bin.55_01580,PF00334,Nucleoside diphosphate kinase,IPR034907,Nucleoside diphosphate kinase-like domain,-,NODE_90330_length_4641_cov_33.411470_3,0.018443033,29.29059829,468,0.007416446,0.005885294,1.873582898
bin_55,Rhodothermales,bin.55_02714,PF00420,NADH-ubiquinone/plastoquinone oxidoreductase chain 4L,IPR039428,NADH-ubiquinone oxidoreductase chain 4L/Mnh complex subunit C1-like,-,NODE_206558_length_2841_cov_23.349964_2,0.018307334,52.44816054,299,0.007416446,0.005885294,1.850525597
bin_43,SW-10-69-26,bin.43_02511,PF07883,Cupin domain,IPR013096,"Cupin 2, conserved barrel",-,NODE_252_length_2704_cov_3.031976_5,0.018260394,37.5899705,339,0.007416446,0.005885294,1.842549785
bin_2,Halobacteriales,bin.2_02734,PF00106,short chain dehydrogenase,IPR002347,Short-chain dehydrogenase/reductase SDR,GO:0016491,NODE_491286_length_1695_cov_19.145732_1,0.017990399,52.55833333,720,0.007416446,0.005885294,1.796673575
bin_43,SW-10-69-26,bin.43_01143,PF00731,AIR carboxylase,IPR000031,PurE domain,GO:0006189,NODE_56_length_13959_cov_3.437248_9,0.017895026,24.04480287,558,0.007416446,0.005885294,1.780468268
bin_85,Halobacteriales,bin.85_01484,PF06745,KaiC,IPR014774,KaiC-like domain,-,NODE_258075_length_2488_cov_260.529388_3,0.01779767,114.8026667,750,0.007416446,0.005885294,1.763926019
bin_178,Halobacteriales,bin.178_00893,PF00462,Glutaredoxin,IPR002109,Glutaredoxin,GO:0097573,NODE_39041_length_7723_cov_165.727830_5,0.01723025,163.7672414,348,0.007416446,0.005885294,1.667512829
bin_55,Rhodothermales,bin.55_02857,PF01641,SelR domain,IPR002579,Peptide methionine sulphoxide reductase MrsB,GO:0033743,NODE_223740_length_2708_cov_24.422917_3,0.017112207,98.625,408,0.007416446,0.005885294,1.647455548
bin_55,Rhodothermales,bin.55_02965,PF06026,Ribose 5-phosphate isomerase A (phosphoriboisomerase A),IPR004788,"Ribose 5-phosphate isomerase, type A",GO:0004751|GO:0009052,NODE_240349_length_2595_cov_20.633465_4,0.017055322,46.92630058,692,0.007416446,0.005885294,1.637789931
bin_55,Rhodothermales,bin.55_01369,PF00106,short chain dehydrogenase,IPR002347,Short-chain dehydrogenase/reductase SDR,GO:0016491,NODE_75836_length_5150_cov_20.115996_4,0.016845176,50.38611111,720,0.007416446,0.005885294,1.602082965
bin_55,Rhodothermales,bin.55_01369,PF00106,short chain dehydrogenase,IPR002347,Short-chain dehydrogenase/reductase SDR,GO:0016491,NODE_75836_length_5150_cov_20.115996_4,0.016845176,50.38611111,720,0.007416446,0.005885294,1.602082965
bin_55,Rhodothermales,bin.55_01369,PF00106,short chain dehydrogenase,IPR002347,Short-chain dehydrogenase/reductase SDR,GO:0016491,NODE_75836_length_5150_cov_20.115996_4,0.016845176,50.38611111,720,0.007416446,0.005885294,1.602082965
bin_55,Rhodothermales,bin.55_01369,PF00106,short chain dehydrogenase,IPR002347,Short-chain dehydrogenase/reductase SDR,GO:0016491,NODE_75836_length_5150_cov_20.115996_4,0.016845176,50.38611111,720,0.007416446,0.005885294,1.602082965
bin_201,Halobacteriales,bin.201_00463,PF01699,Sodium/calcium exchanger protein,IPR004837,Sodium/calcium exchanger membrane region,GO:0016021|GO:0055085,NODE_29787_length_9202_cov_64.587952_4,0.016771343,104.4034691,1326,0.007416446,0.005885294,1.589537628
bin_201,Halobacteriales,bin.201_00463,PF01699,Sodium/calcium exchanger protein,IPR004837,Sodium/calcium exchanger membrane region,GO:0016021|GO:0055085,NODE_29787_length_9202_cov_64.587952_4,0.016771343,104.4034691,1326,0.007416446,0.005885294,1.589537628
bin_41,Halobacteriales,bin.41_01031,PF01728,FtsJ-like methyltransferase,IPR002877,Ribosomal RNA methyltransferase FtsJ domain,GO:0008168|GO:0032259,NODE_55354_length_6222_cov_16.115291_7,0.016751118,44.79871795,780,0.007416446,0.005885294,1.586101097
bin_41,Halobacteriales,bin.41_01031,PF01938,TRAM domain,IPR002792,TRAM domain,-,NODE_55354_length_6222_cov_16.115291_7,0.016751118,44.79871795,780,0.007416446,0.005885294,1.586101097
bin_63,Halobacteriales,bin.63_01946,PF01882,Protein of unknown function DUF58,IPR002881,Domain of unknown function DUF58,-,NODE_224992_length_2699_cov_15.559380_4,0.016289651,54.87773933,867,0.007416446,0.005885294,1.507690914
bin_41,Halobacteriales,bin.41_00529,PF01956,Integral membrane protein EMC3/TMCO1-like,IPR002809,Integral membrane protein EMC3/TMCO1-like,GO:0016020,NODE_17950_length_12842_cov_14.860092_11,0.01602641,70.84758772,912,0.007416446,0.005885294,1.46296231
bin_234,Halobacteriales,bin.234_00369,PF00731,AIR carboxylase,IPR000031,PurE domain,GO:0006189,NODE_177320_length_3111_cov_6.525524_3,0.015894066,15.99831366,593,0.007416446,0.005885294,1.440475074
bin_92,Halobacteriales,bin.92_01225,PF13847,Methyltransferase domain,IPR025714,Methyltransferase domain,-,NODE_53475_length_6354_cov_11.108589_7,0.01585665,27.74576271,767,0.007416446,0.005885294,1.434117533
bin_41,Halobacteriales,bin.41_00012,PF01988,VIT family,IPR008217,Ccc1 family,GO:0005384|GO:0030026,NODE_4673_length_30080_cov_12.099850_12,0.01580577,31.68900344,582,0.007416446,0.005885294,1.425472256
bin_3,Halobacteriales,bin.3_00611,PF00582,Universal stress protein family,IPR006016,UspA,-,NODE_9824_length_18879_cov_59.541171_12,0.015698395,123.4896552,435,0.007416446,0.005885294,1.407227629
bin_92,Halobacteriales,bin.92_00267,PF01370,NAD dependent epimerase/dehydratase family,IPR001509,NAD-dependent epimerase/dehydratase,GO:0003824,NODE_8704_length_20474_cov_11.830305_6,0.01559663,30.6482684,924,0.007416446,0.005885294,1.389936225
bin_41,Halobacteriales,bin.41_01133,PF00462,Glutaredoxin,IPR002109,Glutaredoxin,GO:0097573,NODE_61179_length_5849_cov_10.907318_7,0.015549704,38.60057471,348,0.007416446,0.005885294,1.381962792
bin_53,Paceibacteria,bin.53_00611,PF13459,4Fe-4S single cluster domain,-,-,,NODE_69364_length_5430_cov_6.598326_3,0.015186204,12.63398693,153,0.007416446,0.005885294,1.320198676
bin_168,Halobacteriales,bin.168_00330,PF01042,Endoribonuclease L-PSP,IPR006175,YjgF/YER057c/UK114 family,-,NODE_15328_length_14235_cov_16.926234_15,0.015151435,52.424821,419,0.007416446,0.005885294,1.3142909
bin_218,SW-10-69-26,bin.218_00729,PF00583,Acetyltransferase (GNAT) family,IPR000182,GNAT domain,GO:0008080,NODE_165151_length_3246_cov_7.477593_5,0.01512217,22.21428571,420,0.007416446,0.005885294,1.309318336
