Bin,Order,Node,Competence,PFAM,Lot,Dprime
bin_157,Bacillales,NODE_356_length_111856_cov_61.285141_55,comEC,PF03772.19,Inside,0.667242
bin_125,Balneolales,NODE_1402_length_57706_cov_36.341763_40,comEC,PF03772.19,Inside,0.870968
bin_219,Bipolaricaulia,NODE_1_length_271163_cov_24.621876_184,comEC,PF03772.19,Inside,0.707205
bin_1,Burkholderiales,NODE_4770_length_29655_cov_63.298446_11,comEC,PF03772.19,Outside,0.75
bin_101,Caulobacterales,NODE_15790_length_13960_cov_23.786336_9,comEC,PF03772.19,Outside,0.65
bin_102,Caulobacterales,NODE_808_length_76005_cov_82.565043_19,comEC,PF03772.19,Inside,0.770399
bin_17,Deinococcales,NODE_7665_length_22213_cov_29.610209_10,comEC,PF03772.19,Outside,0.611048
bin_210,Euzebyales,NODE_399_length_105561_cov_34.523771_67,comEC,PF03772.19,Outside,0.95451
bin_79,Gammaproteobacteria,NODE_1995_length_48716_cov_35.494297_18,comEC,PF03772.19,Outside,0.772727
bin_211,Gemmatimonadetes,NODE_158_length_158781_cov_132.395014_105,comEC,PF03772.19,Inside,0.882353
bin_91,Gemmatimonadetes,NODE_105072_length_4244_cov_21.745524_1,comEC,PF03772.19,Outside,0.797193
bin_146,Halobacteriales,NODE_1889_length_49935_cov_39.023877_46,PiliN,PF07790.14,Inside,0.904762
bin_166,Halobacteriales,NODE_152336_length_3404_cov_74.538370_3,PiliN,PF07790.14,Inside,0.51172
bin_166,Halobacteriales,NODE_112680_length_4071_cov_75.192480_3 ,PiliN,PF07790.14,Inside,0.723137
bin_166,Halobacteriales,NODE_112680_length_4071_cov_75.192480_4,PiliN,PF07790.14,Inside,0.579606
bin_166,Halobacteriales,NODE_6604_length_24345_cov_76.507575_2,PiliN,PF07790.14,Inside,0.431867
bin_166,Halobacteriales,NODE_13568_length_15401_cov_91.519745_9,PiliN,PF07790.14,Inside,0.476537
bin_187,Halobacteriales,NODE_7269_length_22961_cov_33.532917_25,PiliN,PF07790.14,Inside,0.666667
bin_20,Halobacteriales,NODE_6672_length_24180_cov_115.025492_5,PiliN,PF07790.14,Inside,0.65
bin_20,Halobacteriales,NODE_71438_length_5336_cov_100.005681_2,PiliN,PF07790.14,Inside,0.410417
bin_20,Halobacteriales,NODE_2059_length_47810_cov_113.395268_48,PiliN,PF07790.14,Inside,0.731199
bin_203,Halobacteriales,NODE_33123_length_8592_cov_24.081996_3,PiliN,PF07790.14,Inside,0.673551
bin_203,Halobacteriales,NODE_7197_length_23125_cov_26.896749_2 ,PiliN,PF07790.14,Inside,0.744441
bin_3,Halobacteriales,NODE_21951_length_11254_cov_65.971872_9,PiliN,PF07790.14,Inside,0.655172
bin_3,Halobacteriales,NODE_23053_length_10895_cov_64.871679_7,PiliN,PF07790.14,Inside,0.947368
bin_3,Halobacteriales,NODE_42356_length_7347_cov_66.448162_8,PiliN,PF07790.14,Inside,0.258065
bin_3,Halobacteriales,NODE_9528_length_19263_cov_60.031810_2,PiliN,PF07790.14,Inside,0.8
bin_30,Halobacteriales,NODE_332_length_114718_cov_28.990372_96,PiliN,PF07790.14,Inside,0.166667
bin_30,Halobacteriales,NODE_15245_length_14294_cov_25.776459_6,PiliN,PF07790.14,Inside,0.5
bin_30,Halobacteriales,NODE_1541_length_55275_cov_29.188899_4 ,PiliN,PF07790.14,Inside,0.549481
bin_30,Halobacteriales,NODE_7925_length_21721_cov_23.556263_10,PiliN,PF07790.14,Inside,0.818901
bin_46,Halobacteriales,NODE_577_length_88045_cov_27.340766_6,PiliN,PF07790.14,Inside,0.779098
bin_46,Halobacteriales,NODE_108_length_186640_cov_33.506257_75,PiliN,PF07790.14,Inside,0.666667
bin_86,Halobacteriales,NODE_28695_length_9426_cov_52.239462_9,PiliN,PF07790.14,Inside,0.625
bin_86,Halobacteriales,NODE_5728_length_26480_cov_33.154324_2,PiliN,PF07790.14,Inside,0.715759
bin_89,Halobacteriales,NODE_232226_length_2649_cov_22.005783_2,PiliN,PF07790.14,Inside,0.777778
bin_188,Kiloniellales,NODE_6673_length_24180_cov_33.185617_7,comEC,PF03772.19,Inside,0.677188
bin_39,Mycobacteriales,NODE_3031_length_38743_cov_26.323718_9,comEC,PF03772.19,Outside,0.642857
bin_184,Nevskiales,NODE_13125_length_15754_cov_218.918084_6,comEC,PF03772.19,Outside,0.844844
bin_115,Nitriliruptorales,NODE_12_length_60240_cov_23.220351_39,comEC,PF03772.19,Outside,0.847231
bin_141,Nitriliruptorales,NODE_1979_length_48867_cov_35.326211_7,comEC,PF03772.19,Outside,0.762678
bin_190,Nitriliruptorales,NODE_2752_length_41105_cov_49.592107_5,comEC,PF03772.19,Outside,0.715618
bin_229,Nitriliruptorales,NODE_4023_length_32898_cov_260.347989_10,comEC,PF03772.19,Outside,0.85504
bin_36,Nitriliruptorales,NODE_19501_length_12150_cov_220.066226_5,comEC,PF03772.19,Outside,0.936111
bin_217,Nitrosococcales,NODE_59_length_248174_cov_21.952462_156,comEC,PF03772.19,Outside,0.8
bin_123,Pseudomonadales,NODE_489_length_94973_cov_779.718041_77,comEC,PF03772.19,Inside,0.959707
bin_124,Pseudomonadales,NODE_901_length_72100_cov_17.350781_30,comEC,PF03772.19,Outside,0.5
bin_131,Pseudomonadales,NODE_16514_length_13552_cov_39.839298_10,comEC,PF03772.19,Outside,0.437262
bin_140,Pseudomonadales,NODE_262_length_126934_cov_203.909473_91,comEC,PF03772.19,Outside,0.7
bin_145,Pseudomonadales,NODE_46829_length_6893_cov_50.342059_3,comEC,PF03772.19,Outside,0.913043
bin_160,Pseudomonadales,NODE_2_length_221162_cov_40.056159_127,comEC,PF03772.19,Inside,0.823529
bin_198,Pseudomonadales,NODE_347_length_113607_cov_159.720551_42,comEC,PF03772.19,Outside,0.833333
bin_59,Pseudomonadales,NODE_3555_length_35279_cov_236.302578_15,comEC,PF03772.19,Outside,0.95122
bin_68,Pseudomonadales,NODE_65_length_234386_cov_41.049959_202,comEC,PF03772.19,Inside,0.512195
bin_74,Pseudomonadales,NODE_11122_length_17477_cov_60.213466_7,comEC,PF03772.19,Outside,0.758621
bin_103,Rhizobiales,NODE_4_length_42089_cov_5.602637_22,comEC,PF03772.19,Outside,0.899746
bin_128,Rhizobiales,NODE_7095_length_23309_cov_30.189129_9,comEC,PF03772.19,Outside,0.842372
bin_158,Rhizobiales,NODE_3043_length_38652_cov_43.409954_19,comEC,PF03772.19,Outside,0.8
bin_71,Rhizobiales,NODE_270_length_124429_cov_8.511578_89,comEC,PF03772.19,Inside,0.634501
bin_150,Rhodobacterales,NODE_661_length_82385_cov_136.573363_36,comEC,PF03772.19,Outside,0.74359
bin_180,Rhodobacterales,NODE_3839_length_33835_cov_65.780107_3,comEC,PF03772.19,Outside,0.636364
bin_228,Rhodobacterales,NODE_151_length_162743_cov_684.389666_34,comEC,PF03772.19,Outside,0.813979
bin_204,Sphingomonadales,NODE_403_length_105148_cov_64.351831_53,comEC,PF03772.19,Outside,0.857143
